date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:51:05	24/24	---M--	200	added ('OK')	text/plain	etag:%225ce8ae14-18%22	https://www.bookingcore.org/robots.txt		(from )
14:51:05	85002/85002	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2009:24:36%20GMT	https://www.bookingcore.org/	C:/My%20Web%20Sites/Bookingcore/www.bookingcore.org/index.html	(from )
14:51:05	2466/2466	---M--	200	added ('OK')	image/png	etag:%225e1fda06-9a2%22	https://www.bookingcore.org/uploads/demo/general/favicon.png	C:/My%20Web%20Sites/Bookingcore/www.bookingcore.org/uploads/demo/general/favicon.png	(from https://www.bookingcore.org/)
14:51:06	156060/156060	---MCZ	200	added ('OK')	text/css	etag:W/%225ce8ae14-2ef5c%22	https://www.bookingcore.org/libs/bootstrap/css/bootstrap.css	C:/My%20Web%20Sites/Bookingcore/www.bookingcore.org/libs/bootstrap/css/bootstrap.css	(from https://www.bookingcore.org/)
14:51:06	30966/30966	---MCZ	200	added ('OK')	text/css	etag:W/%225ce8ae14-9226%22	https://www.bookingcore.org/libs/font-awesome/css/font-awesome.css	C:/My%20Web%20Sites/Bookingcore/www.bookingcore.org/libs/font-awesome/css/font-awesome.css	(from https://www.bookingcore.org/)
14:51:06	46591/46591	---MCZ	200	added ('OK')	text/css	etag:W/%225d11db1e-b5ff%22	https://www.bookingcore.org/libs/ionicons/css/ionicons.min.css	C:/My%20Web%20Sites/Bookingcore/www.bookingcore.org/libs/ionicons/css/ionicons.min.css	(from https://www.bookingcore.org/)
14:51:06	92208/92208	---MCZ	200	added ('OK')	text/css	etag:W/%225cfb8d16-16830%22	https://www.bookingcore.org/libs/icofont/icofont.min.css	C:/My%20Web%20Sites/Bookingcore/www.bookingcore.org/libs/icofont/icofont.min.css	(from https://www.bookingcore.org/)
14:51:06	15180/15180	---MCZ	200	added ('OK')	text/css	etag:W/%225ce8ae14-3b4c%22	https://www.bookingcore.org/libs/select2/css/select2.min.css	C:/My%20Web%20Sites/Bookingcore/www.bookingcore.org/libs/select2/css/select2.min.css	(from https://www.bookingcore.org/)
14:51:07	131262/131262	---MCZ	200	added ('OK')	text/css	etag:W/%225dcd2af5-2018e%22	https://www.bookingcore.org/css/app.css	C:/My%20Web%20Sites/Bookingcore/www.bookingcore.org/css/app.css	(from https://www.bookingcore.org/)
14:51:07	6844/6844	---MCZ	200	added ('OK')	text/css	etag:W/%225ce8ae14-20d2%22	https://www.bookingcore.org/libs/daterange/daterangepicker.css	C:/My%20Web%20Sites/Bookingcore/www.bookingcore.org/libs/daterange/daterangepicker.css	(from https://www.bookingcore.org/)
